product_id,category,sub_category,product_name,Column1,Column2
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,,
FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back,
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,,
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,,
FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood,
OFF-AR-10002833,Office Supplies,Art,Newell 322,,
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,,
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,,
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,,
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,,
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,,
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,
OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,,
OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving," Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,,
OFF-AR-10003056,Office Supplies,Art,Newell 341,,
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,,
OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder, White," 1"""
OFF-AR-10000246,Office Supplies,Art,Newell 318,,
OFF-AP-10001492,Office Supplies,Appliances,Acco Six-Outlet Power Strip, 4' Cord Length,
FUR-CH-10002774,Furniture,Chairs,Global Deluxe Stacking Chair, Gray,
OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,,
TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,
FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish,
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,,
OFF-AR-10004042,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain,
OFF-BI-10001525,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks," 14 7/8"" x 11""", Executive Red
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,,
OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,,
TEC-PH-10004977,Technology,Phones,GE 30524EE4,,
FUR-FU-10003664,Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp, Black,
OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,
FUR-BO-10002545,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors,
FUR-CH-10004218,Furniture,Chairs,Global Fabric Manager's Chair, Dark Gray,
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,,
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,,
OFF-ST-10003479,Office Supplies,Storage,Eldon Base for stackable storage shelf, platinum,
OFF-ST-10003282,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers
TEC-AC-10000171,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack,
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,,
OFF-ST-10001713,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,
TEC-PH-10003988,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,
OFF-BI-10004410,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack
OFF-LA-10002762,Office Supplies,Labels,Avery 485,,
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,,
FUR-CH-10003061,Furniture,Chairs,Global Leather Task Chair, Black,
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,,
TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,,
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,,
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,,
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,,
OFF-PA-10000587,Office Supplies,Paper,Array Parchment Paper, Assorted Colors,
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,,
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,,
TEC-AC-10004633,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack,
OFF-BI-10001078,Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue," 14 7/8"" X 11"""
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,,
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,,
FUR-CH-10001146,Furniture,Chairs,Global Value Mid-Back Manager's Chair, Gray,
OFF-AR-10002671,Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige,
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,,
OFF-PA-10000482,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate,
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,,
OFF-PA-10004675,Office Supplies,Paper,Telephone Message Books with Fax/Mobile Section," 5 1/2"" x 3 3/16""",
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,,
FUR-FU-10003708,Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip," 36"" x 48"""
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,,
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,,
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock", Black,
OFF-ST-10000615,Office Supplies,Storage,SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h
FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,,
OFF-AR-10002053,Office Supplies,Art,Premium Writing Pencils, Soft, #2 by Central Association for the Blind
OFF-ST-10002370,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer, Black,
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,,
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,,
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,
OFF-LA-10000134,Office Supplies,Labels,Avery,,
